,,,"жёлтым выделяем ТОЛЬКО то, что изменилось в этом файле по сравнению с предыдущим. Перед этим все старые выделения убираем!",,,,,,,,,,,,,,,,
,,,Удалена ,,,,,,,,,,,,,,,,
,79255254541 Федор ,,свободный для новых вм,,,,,,,,,,,,,,,,
,,,"не совпадало с ВМ  или отсутвовал в файле( вм жива и работает), Выставленно ральное значение  ",,,,,,,,,,,,,,,,
,,,временные из бекапа ,,,,,,,,,,,,,,,,
,,,Шлюз по умолчанию  10.20.42.23 для новых вм,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Имя севера (VM),vCPU,RAM,SSD C,SSD E,SSD Суммарно,HDD,,Цена с НДС,# IP,IP-внутр,IP-public,Ссылка на Grafana,Среднее потребленее CPU за 7 дней,Сервисы,Описание сервиса,Кто владеет,К удалению,
5 Ghz,14230_win22,6,24,100,1024,1124,,,17 032,,10.20.42.31,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=kimberly-clark.sellout.ics.local&var-cpumode=dpc,"4,67%",tenant SO KC,tenant SO KC + office service,SO KC,,
,14231_win2019_Quiz_Dev,4,16,150,700,850,,,9 280,,10.20.42.32,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=dev.quiz.ics.local&var-cpumode=dpc,"14,40%",Quiz dev,RB Quiz dev,Quiz,,
5 Ghz,14232_win22,4,32,160,1824,1984,,,23 792,,10.20.42.33,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=opella.sellout.ics.local&var-cpumode=dpc,"26,90%",tenant SO Opella,,SO Opella,,
,,,,,,,,,,,10.20.42.34,,,,,,,,
,ип адрес занят 14293,,,,,,,,,,10.20.42.35,,,,,,,,
,14235_ubuntu22,4,4,40,35,75,,,4 120,10,10.20.42.36,"194.190.8.100
194.190.8.224
194.190.8.146
194.190.8.171
194.190.8.188
194.190.8.151
194.226.164.238
194.226.164.128
194.226.164.129
194.226.164.145 ",https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-job=devops-nodeexporter-linux&var-host=angie1.ics.local:9100,"52,50%",Angie proxy,WAF,DO,,
5 Ghz,14236_win22,2,8,80,,80,,,3 320,,10.20.42.37,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=office-service.devops.ics.local&var-cpumode=dpc,"0,42%",office-service для SO,,SO,,нужен?
,14237_centos7,2,4,30,,30,,,1 160,,10.20.42.38,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-job=devops-nodeexporter-linux&var-host=passwork.devops.ics.local:9100,"1,70%",passwork,,DO,,ORG?
,14238_ubuntu2204_vpn,1,2,10,,10,,,740,1,10.20.42.39,194.190.8.133,,,VPN Russia,Для доступа к Российским ресурсам,DO,Планируется к удалению,Нужно собрать обратную связь от сотрудников зарубежом
,14239_ubuntu2204_stor53,2,2,,,,1034,,2 828,,10.20.42.40,,,,Медленное хранилище для SO+,,SO,,
,ип адрес занят vm14271,,,,,,,,,,10.20.42.41,,,,,,,,не понял для чего эта строчка
,14241_win2022_SPS_Prod,8,32,110,910,1020,,,13 120,,10.20.42.42,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=sps-rb.inta.ics.local&var-cpumode=dpc,"31,30%",RB SPS prod,,RB,,
,14242_ubuntu2204_prometheus,6,16,1024,,1024,,,11 272,,10.20.42.43,,,,Prometheus для DevOps,,DO,,Основной прометеус
